INSTRUMENT_CD,INSTRUMENT_DESC,INSTRUMENT_TYPE,IS_ACTIVE
INS009852,Instrument INS009852,BOND,Y
INS009853,Instrument INS009853,FX,Y
INS009854,Instrument INS009854,FX,Y
INS009855,Instrument INS009855,FX,Y
INS009856,Instrument INS009856,FX,Y
INS009857,Instrument INS009857,BOND,Y
INS009858,Instrument INS009858,EQUITY,Y
INS009859,Instrument INS009859,FX,Y
INS009860,Instrument INS009860,FX,Y
INS009861,Instrument INS009861,BOND,Y
INS009862,Instrument INS009862,FX,Y
INS009863,Instrument INS009863,FX,Y
INS009864,Instrument INS009864,EQUITY,Y
INS009865,Instrument INS009865,FX,Y
INS009866,Instrument INS009866,FX,Y
INS009867,Instrument INS009867,EQUITY,Y
INS009868,Instrument INS009868,FX,Y
INS009869,Instrument INS009869,EQUITY,Y
INS009870,Instrument INS009870,BOND,Y
INS009871,Instrument INS009871,EQUITY,Y
INS009872,Instrument INS009872,EQUITY,Y
INS009873,Instrument INS009873,FX,Y
INS009874,Instrument INS009874,FX,Y
INS009875,Instrument INS009875,FX,Y
INS009876,Instrument INS009876,FX,Y
INS009877,Instrument INS009877,EQUITY,Y
INS009878,Instrument INS009878,BOND,Y
INS009879,Instrument INS009879,FX,Y
INS009880,Instrument INS009880,EQUITY,Y
INS009881,Instrument INS009881,BOND,Y
INS009882,Instrument INS009882,BOND,Y
INS009883,Instrument INS009883,BOND,Y
INS009884,Instrument INS009884,EQUITY,Y
INS009885,Instrument INS009885,FX,Y
INS009886,Instrument INS009886,EQUITY,Y
INS009887,Instrument INS009887,FX,Y
INS009888,Instrument INS009888,BOND,Y
INS009889,Instrument INS009889,BOND,Y
INS009890,Instrument INS009890,EQUITY,Y
INS009891,Instrument INS009891,BOND,Y
INS009892,Instrument INS009892,EQUITY,Y
INS009893,Instrument INS009893,FX,Y
INS009894,Instrument INS009894,BOND,Y
INS009895,Instrument INS009895,FX,Y
INS009896,Instrument INS009896,BOND,Y
INS009897,Instrument INS009897,FX,Y
INS009898,Instrument INS009898,BOND,Y
INS009899,Instrument INS009899,FX,Y
INS009900,Instrument INS009900,BOND,Y
INS009901,Instrument INS009901,EQUITY,Y
INS009902,Instrument INS009902,FX,Y
INS009903,Instrument INS009903,FX,Y
INS009904,Instrument INS009904,EQUITY,Y
INS009905,Instrument INS009905,EQUITY,Y
INS009906,Instrument INS009906,EQUITY,Y
INS009907,Instrument INS009907,BOND,Y
INS009908,Instrument INS009908,EQUITY,Y
INS009909,Instrument INS009909,BOND,Y
INS009910,Instrument INS009910,BOND,Y
INS009911,Instrument INS009911,EQUITY,Y
INS009912,Instrument INS009912,EQUITY,Y
INS009913,Instrument INS009913,BOND,Y
INS009914,Instrument INS009914,FX,Y
INS009915,Instrument INS009915,FX,Y
INS009916,Instrument INS009916,EQUITY,Y
INS009917,Instrument INS009917,FX,Y
INS009918,Instrument INS009918,BOND,Y
INS009919,Instrument INS009919,FX,Y
INS009920,Instrument INS009920,BOND,Y
INS009921,Instrument INS009921,EQUITY,Y
INS009922,Instrument INS009922,EQUITY,Y
INS009923,Instrument INS009923,FX,Y
INS009924,Instrument INS009924,EQUITY,Y
INS009925,Instrument INS009925,EQUITY,Y
INS009926,Instrument INS009926,BOND,Y
INS009927,Instrument INS009927,BOND,Y
INS009928,Instrument INS009928,BOND,Y
INS009929,Instrument INS009929,BOND,Y
INS009930,Instrument INS009930,EQUITY,Y
INS009931,Instrument INS009931,BOND,Y
INS009932,Instrument INS009932,BOND,Y
INS009933,Instrument INS009933,BOND,Y
INS009934,Instrument INS009934,FX,Y
INS009935,Instrument INS009935,BOND,Y
INS009936,Instrument INS009936,EQUITY,Y
INS009937,Instrument INS009937,EQUITY,Y
INS009938,Instrument INS009938,BOND,Y
INS009939,Instrument INS009939,FX,Y
INS009940,Instrument INS009940,FX,Y
INS009941,Instrument INS009941,FX,Y
INS009942,Instrument INS009942,FX,Y
INS009943,Instrument INS009943,BOND,Y
INS009944,Instrument INS009944,BOND,Y
INS009945,Instrument INS009945,EQUITY,Y
INS009946,Instrument INS009946,EQUITY,Y
INS009947,Instrument INS009947,FX,Y
INS009948,Instrument INS009948,FX,Y
INS009949,Instrument INS009949,EQUITY,Y
INS009950,Instrument INS009950,EQUITY,Y
INS009951,Instrument INS009951,FX,Y
INS009952,Instrument INS009952,EQUITY,Y
INS009953,Instrument INS009953,FX,Y
INS009954,Instrument INS009954,BOND,Y
INS009955,Instrument INS009955,FX,Y
INS009956,Instrument INS009956,BOND,Y
INS009957,Instrument INS009957,BOND,Y
INS009958,Instrument INS009958,BOND,Y
INS009959,Instrument INS009959,EQUITY,Y
INS009960,Instrument INS009960,EQUITY,Y
INS009961,Instrument INS009961,FX,Y
INS009962,Instrument INS009962,BOND,Y
INS009963,Instrument INS009963,FX,Y
INS009964,Instrument INS009964,BOND,Y
INS009965,Instrument INS009965,BOND,Y
INS009966,Instrument INS009966,FX,Y
INS009967,Instrument INS009967,FX,Y
INS009968,Instrument INS009968,FX,Y
INS009969,Instrument INS009969,FX,Y
INS009970,Instrument INS009970,EQUITY,Y
INS009971,Instrument INS009971,BOND,Y
INS009972,Instrument INS009972,BOND,Y
INS009973,Instrument INS009973,EQUITY,Y
INS009974,Instrument INS009974,BOND,Y
INS009975,Instrument INS009975,EQUITY,Y
INS009976,Instrument INS009976,BOND,Y
INS009977,Instrument INS009977,EQUITY,Y
INS009978,Instrument INS009978,EQUITY,Y
INS009979,Instrument INS009979,BOND,Y
INS009980,Instrument INS009980,BOND,Y
INS009981,Instrument INS009981,BOND,Y
INS009982,Instrument INS009982,FX,Y
INS009983,Instrument INS009983,BOND,Y
INS009984,Instrument INS009984,BOND,Y
INS009985,Instrument INS009985,BOND,Y
INS009986,Instrument INS009986,FX,Y
INS009987,Instrument INS009987,BOND,Y
INS009988,Instrument INS009988,EQUITY,Y
INS009989,Instrument INS009989,EQUITY,Y
INS009990,Instrument INS009990,FX,Y
INS009991,Instrument INS009991,FX,Y
INS009992,Instrument INS009992,FX,Y
INS009993,Instrument INS009993,FX,Y
INS009994,Instrument INS009994,FX,Y
INS009995,Instrument INS009995,BOND,Y
INS009996,Instrument INS009996,EQUITY,Y
INS009997,Instrument INS009997,EQUITY,Y
INS009998,Instrument INS009998,BOND,Y
INS009999,Instrument INS009999,FX,Y
INS010000,Instrument INS010000,BOND,Y
INS010001,Instrument INS010001,FX,Y
INS010002,Instrument INS010002,EQUITY,Y
INS010003,Instrument INS010003,EQUITY,Y
INS010004,Instrument INS010004,FX,Y
INS010005,Instrument INS010005,BOND,Y
INS010006,Instrument INS010006,FX,Y
INS010007,Instrument INS010007,FX,Y
INS010008,Instrument INS010008,EQUITY,Y
INS010009,Instrument INS010009,FX,Y
INS010010,Instrument INS010010,BOND,Y
INS010011,Instrument INS010011,FX,Y
INS010012,Instrument INS010012,EQUITY,Y
INS010013,Instrument INS010013,BOND,Y
INS010014,Instrument INS010014,BOND,Y
INS010015,Instrument INS010015,EQUITY,Y
INS010016,Instrument INS010016,EQUITY,Y
INS010017,Instrument INS010017,FX,Y
INS010018,Instrument INS010018,EQUITY,Y
INS010019,Instrument INS010019,EQUITY,Y
INS010020,Instrument INS010020,EQUITY,Y
INS010021,Instrument INS010021,EQUITY,Y
INS010022,Instrument INS010022,BOND,Y
INS010023,Instrument INS010023,BOND,Y
INS010024,Instrument INS010024,BOND,Y
INS010025,Instrument INS010025,EQUITY,Y
INS010026,Instrument INS010026,FX,Y
INS010027,Instrument INS010027,FX,Y
INS010028,Instrument INS010028,FX,Y
INS010029,Instrument INS010029,FX,Y
INS010030,Instrument INS010030,BOND,Y
INS010031,Instrument INS010031,FX,Y
INS010032,Instrument INS010032,BOND,Y
INS010033,Instrument INS010033,FX,Y
INS010034,Instrument INS010034,FX,Y
INS010035,Instrument INS010035,BOND,Y
INS010036,Instrument INS010036,BOND,Y
INS010037,Instrument INS010037,FX,Y
INS010038,Instrument INS010038,EQUITY,Y
INS010039,Instrument INS010039,FX,Y
INS010040,Instrument INS010040,FX,Y
INS010041,Instrument INS010041,FX,Y
INS010042,Instrument INS010042,BOND,Y
INS010043,Instrument INS010043,FX,Y
INS010044,Instrument INS010044,EQUITY,Y
INS010045,Instrument INS010045,FX,Y
INS010046,Instrument INS010046,EQUITY,Y
INS010047,Instrument INS010047,EQUITY,Y
INS010048,Instrument INS010048,EQUITY,Y
INS010049,Instrument INS010049,FX,Y
INS010050,Instrument INS010050,BOND,Y
INS010051,Instrument INS010051,BOND,Y
INS010052,Instrument INS010052,FX,Y
INS010053,Instrument INS010053,FX,Y
INS010054,Instrument INS010054,EQUITY,Y
INS010055,Instrument INS010055,FX,Y
INS010056,Instrument INS010056,BOND,Y
INS010057,Instrument INS010057,FX,Y
INS010058,Instrument INS010058,FX,Y
INS010059,Instrument INS010059,FX,Y
INS010060,Instrument INS010060,EQUITY,Y
INS010061,Instrument INS010061,FX,Y
INS010062,Instrument INS010062,FX,Y
INS010063,Instrument INS010063,FX,Y
INS010064,Instrument INS010064,BOND,Y
INS010065,Instrument INS010065,EQUITY,Y
INS010066,Instrument INS010066,EQUITY,Y
INS010067,Instrument INS010067,BOND,Y
INS010068,Instrument INS010068,EQUITY,Y
INS010069,Instrument INS010069,BOND,Y
INS010070,Instrument INS010070,EQUITY,Y
INS010071,Instrument INS010071,EQUITY,Y
INS010072,Instrument INS010072,EQUITY,Y
INS010073,Instrument INS010073,FX,Y
INS010074,Instrument INS010074,EQUITY,Y
INS010075,Instrument INS010075,FX,Y
INS010076,Instrument INS010076,FX,Y
INS010077,Instrument INS010077,FX,Y
INS010078,Instrument INS010078,BOND,Y
INS010079,Instrument INS010079,EQUITY,Y
INS010080,Instrument INS010080,EQUITY,Y
INS010081,Instrument INS010081,EQUITY,Y
INS010082,Instrument INS010082,FX,Y
INS010083,Instrument INS010083,EQUITY,Y
INS010084,Instrument INS010084,FX,Y
INS010085,Instrument INS010085,FX,Y
INS010086,Instrument INS010086,FX,Y
INS010087,Instrument INS010087,FX,Y
INS010088,Instrument INS010088,EQUITY,Y
INS010089,Instrument INS010089,FX,Y
INS010090,Instrument INS010090,BOND,Y
INS010091,Instrument INS010091,BOND,Y
INS010092,Instrument INS010092,BOND,Y
INS010093,Instrument INS010093,FX,Y
INS010094,Instrument INS010094,EQUITY,Y
INS010095,Instrument INS010095,EQUITY,Y
INS010096,Instrument INS010096,FX,Y
INS010097,Instrument INS010097,FX,Y
INS010098,Instrument INS010098,FX,Y
INS010099,Instrument INS010099,BOND,Y
INS010100,Instrument INS010100,FX,Y
INS010101,Instrument INS010101,FX,Y
INS010102,Instrument INS010102,EQUITY,Y
INS010103,Instrument INS010103,EQUITY,Y
INS010104,Instrument INS010104,BOND,Y
INS010105,Instrument INS010105,BOND,Y
INS010106,Instrument INS010106,BOND,Y
INS010107,Instrument INS010107,BOND,Y
INS010108,Instrument INS010108,FX,Y
INS010109,Instrument INS010109,FX,Y
INS010110,Instrument INS010110,BOND,Y
INS010111,Instrument INS010111,BOND,Y
INS010112,Instrument INS010112,EQUITY,Y
INS010113,Instrument INS010113,EQUITY,Y
INS010114,Instrument INS010114,EQUITY,Y
INS010115,Instrument INS010115,BOND,Y
INS010116,Instrument INS010116,EQUITY,Y
INS010117,Instrument INS010117,BOND,Y
INS010118,Instrument INS010118,FX,Y
INS010119,Instrument INS010119,BOND,Y
INS010120,Instrument INS010120,FX,Y
INS010121,Instrument INS010121,FX,Y
INS010122,Instrument INS010122,BOND,Y
INS010123,Instrument INS010123,EQUITY,Y
INS010124,Instrument INS010124,BOND,Y
INS010125,Instrument INS010125,EQUITY,Y
INS010126,Instrument INS010126,FX,Y
INS010127,Instrument INS010127,FX,Y
INS010128,Instrument INS010128,FX,Y
INS010129,Instrument INS010129,FX,Y
INS010130,Instrument INS010130,BOND,Y
INS010131,Instrument INS010131,FX,Y
INS010132,Instrument INS010132,EQUITY,Y
INS010133,Instrument INS010133,EQUITY,Y
INS010134,Instrument INS010134,FX,Y
INS010135,Instrument INS010135,BOND,Y
INS010136,Instrument INS010136,FX,Y
INS010137,Instrument INS010137,FX,Y
INS010138,Instrument INS010138,EQUITY,Y
INS010139,Instrument INS010139,BOND,Y
INS010140,Instrument INS010140,BOND,Y
INS010141,Instrument INS010141,EQUITY,Y
INS010142,Instrument INS010142,EQUITY,Y
INS010143,Instrument INS010143,EQUITY,Y
INS010144,Instrument INS010144,BOND,Y
INS010145,Instrument INS010145,EQUITY,Y
INS010146,Instrument INS010146,EQUITY,Y
INS010147,Instrument INS010147,EQUITY,Y
INS010148,Instrument INS010148,FX,Y
INS010149,Instrument INS010149,BOND,Y
INS010150,Instrument INS010150,BOND,Y
INS010151,Instrument INS010151,FX,Y
INS010152,Instrument INS010152,BOND,Y
INS010153,Instrument INS010153,EQUITY,Y
INS010154,Instrument INS010154,FX,Y
INS010155,Instrument INS010155,EQUITY,Y
INS010156,Instrument INS010156,EQUITY,Y
INS010157,Instrument INS010157,EQUITY,Y
INS010158,Instrument INS010158,EQUITY,Y
INS010159,Instrument INS010159,BOND,Y
INS010160,Instrument INS010160,FX,Y
INS010161,Instrument INS010161,FX,Y
INS010162,Instrument INS010162,EQUITY,Y
INS010163,Instrument INS010163,FX,Y
INS010164,Instrument INS010164,FX,Y
INS010165,Instrument INS010165,EQUITY,Y
INS010166,Instrument INS010166,EQUITY,Y
INS010167,Instrument INS010167,BOND,Y
INS010168,Instrument INS010168,BOND,Y
INS010169,Instrument INS010169,EQUITY,Y
INS010170,Instrument INS010170,BOND,Y
INS010171,Instrument INS010171,BOND,Y
INS010172,Instrument INS010172,FX,Y
INS010173,Instrument INS010173,EQUITY,Y
INS010174,Instrument INS010174,FX,Y
INS010175,Instrument INS010175,FX,Y
INS010176,Instrument INS010176,EQUITY,Y
INS010177,Instrument INS010177,FX,Y
INS010178,Instrument INS010178,BOND,Y
INS010179,Instrument INS010179,BOND,Y
INS010180,Instrument INS010180,BOND,Y
INS010181,Instrument INS010181,BOND,Y
INS010182,Instrument INS010182,BOND,Y
INS010183,Instrument INS010183,FX,Y
INS010184,Instrument INS010184,EQUITY,Y
INS010185,Instrument INS010185,FX,Y
INS010186,Instrument INS010186,FX,Y
INS010187,Instrument INS010187,BOND,Y
INS010188,Instrument INS010188,BOND,Y
INS010189,Instrument INS010189,FX,Y
INS010190,Instrument INS010190,FX,Y
INS010191,Instrument INS010191,EQUITY,Y
INS010192,Instrument INS010192,EQUITY,Y
INS010193,Instrument INS010193,EQUITY,Y
INS010194,Instrument INS010194,EQUITY,Y
INS010195,Instrument INS010195,EQUITY,Y
INS010196,Instrument INS010196,BOND,Y
INS010197,Instrument INS010197,EQUITY,Y
INS010198,Instrument INS010198,FX,Y
INS010199,Instrument INS010199,BOND,Y
INS010200,Instrument INS010200,FX,Y
INS010201,Instrument INS010201,BOND,Y
INS010202,Instrument INS010202,BOND,Y
INS010203,Instrument INS010203,EQUITY,Y
INS010204,Instrument INS010204,FX,Y
INS010205,Instrument INS010205,EQUITY,Y
INS010206,Instrument INS010206,FX,Y
INS010207,Instrument INS010207,FX,Y
INS010208,Instrument INS010208,EQUITY,Y
INS010209,Instrument INS010209,EQUITY,Y
INS010210,Instrument INS010210,BOND,Y
INS010211,Instrument INS010211,BOND,Y
INS010212,Instrument INS010212,BOND,Y
INS010213,Instrument INS010213,FX,Y
INS010214,Instrument INS010214,EQUITY,Y
INS010215,Instrument INS010215,BOND,Y
INS010216,Instrument INS010216,EQUITY,Y
INS010217,Instrument INS010217,BOND,Y
INS010218,Instrument INS010218,BOND,Y
INS010219,Instrument INS010219,EQUITY,Y
INS010220,Instrument INS010220,BOND,Y
INS010221,Instrument INS010221,EQUITY,Y
INS010222,Instrument INS010222,BOND,Y
INS010223,Instrument INS010223,EQUITY,Y
INS010224,Instrument INS010224,BOND,Y
INS010225,Instrument INS010225,BOND,Y
INS010226,Instrument INS010226,FX,Y
INS010227,Instrument INS010227,EQUITY,Y
INS010228,Instrument INS010228,BOND,Y
INS010229,Instrument INS010229,FX,Y
INS010230,Instrument INS010230,EQUITY,Y
INS010231,Instrument INS010231,BOND,Y
INS010232,Instrument INS010232,BOND,Y
INS010233,Instrument INS010233,BOND,Y
INS010234,Instrument INS010234,EQUITY,Y
INS010235,Instrument INS010235,FX,Y
INS010236,Instrument INS010236,BOND,Y
INS010237,Instrument INS010237,FX,Y
INS010238,Instrument INS010238,EQUITY,Y
INS010239,Instrument INS010239,EQUITY,Y
INS010240,Instrument INS010240,BOND,Y
INS010241,Instrument INS010241,BOND,Y
INS010242,Instrument INS010242,BOND,Y
INS010243,Instrument INS010243,FX,Y
INS010244,Instrument INS010244,FX,Y
INS010245,Instrument INS010245,BOND,Y
INS010246,Instrument INS010246,EQUITY,Y
INS010247,Instrument INS010247,EQUITY,Y
INS010248,Instrument INS010248,BOND,Y
INS010249,Instrument INS010249,FX,Y
INS010250,Instrument INS010250,EQUITY,Y
INS010251,Instrument INS010251,FX,Y
INS010252,Instrument INS010252,BOND,Y
INS010253,Instrument INS010253,FX,Y
INS010254,Instrument INS010254,FX,Y
INS010255,Instrument INS010255,FX,Y
INS010256,Instrument INS010256,EQUITY,Y
INS010257,Instrument INS010257,FX,Y
INS010258,Instrument INS010258,FX,Y
INS010259,Instrument INS010259,FX,Y
INS010260,Instrument INS010260,BOND,Y
INS010261,Instrument INS010261,FX,Y
INS010262,Instrument INS010262,FX,Y
INS010263,Instrument INS010263,EQUITY,Y
INS010264,Instrument INS010264,BOND,Y
INS010265,Instrument INS010265,FX,Y
INS010266,Instrument INS010266,EQUITY,Y
INS010267,Instrument INS010267,EQUITY,Y
INS010268,Instrument INS010268,FX,Y
INS010269,Instrument INS010269,EQUITY,Y
INS010270,Instrument INS010270,EQUITY,Y
INS010271,Instrument INS010271,EQUITY,Y
INS010272,Instrument INS010272,EQUITY,Y
INS010273,Instrument INS010273,FX,Y
INS010274,Instrument INS010274,FX,Y
INS010275,Instrument INS010275,EQUITY,Y
INS010276,Instrument INS010276,FX,Y
INS010277,Instrument INS010277,FX,Y
INS010278,Instrument INS010278,EQUITY,Y
INS010279,Instrument INS010279,EQUITY,Y
INS010280,Instrument INS010280,EQUITY,Y
INS010281,Instrument INS010281,FX,Y
INS010282,Instrument INS010282,FX,Y
INS010283,Instrument INS010283,BOND,Y
INS010284,Instrument INS010284,BOND,Y
INS010285,Instrument INS010285,EQUITY,Y
INS010286,Instrument INS010286,BOND,Y
INS010287,Instrument INS010287,FX,Y
INS010288,Instrument INS010288,BOND,Y
INS010289,Instrument INS010289,BOND,Y
INS010290,Instrument INS010290,EQUITY,Y
INS010291,Instrument INS010291,FX,Y
INS010292,Instrument INS010292,FX,Y
INS010293,Instrument INS010293,FX,Y
INS010294,Instrument INS010294,FX,Y
INS010295,Instrument INS010295,BOND,Y
INS010296,Instrument INS010296,EQUITY,Y
INS010297,Instrument INS010297,BOND,Y
INS010298,Instrument INS010298,FX,Y
INS010299,Instrument INS010299,EQUITY,Y
INS010300,Instrument INS010300,EQUITY,Y
INS010301,Instrument INS010301,FX,Y
INS010302,Instrument INS010302,FX,Y
INS010303,Instrument INS010303,EQUITY,Y
INS010304,Instrument INS010304,FX,Y
INS010305,Instrument INS010305,FX,Y
INS010306,Instrument INS010306,FX,Y
INS010307,Instrument INS010307,FX,Y
INS010308,Instrument INS010308,EQUITY,Y
INS010309,Instrument INS010309,EQUITY,Y
INS010310,Instrument INS010310,BOND,Y
INS010311,Instrument INS010311,BOND,Y
INS010312,Instrument INS010312,EQUITY,Y
INS010313,Instrument INS010313,BOND,Y
INS010314,Instrument INS010314,FX,Y
INS010315,Instrument INS010315,FX,Y
INS010316,Instrument INS010316,EQUITY,Y
INS010317,Instrument INS010317,BOND,Y
INS010318,Instrument INS010318,FX,Y
INS010319,Instrument INS010319,BOND,Y
INS010320,Instrument INS010320,EQUITY,Y
INS010321,Instrument INS010321,EQUITY,Y
INS010322,Instrument INS010322,BOND,Y
INS010323,Instrument INS010323,EQUITY,Y
INS010324,Instrument INS010324,FX,Y
INS010325,Instrument INS010325,FX,Y
INS010326,Instrument INS010326,BOND,Y
INS010327,Instrument INS010327,BOND,Y
INS010328,Instrument INS010328,EQUITY,Y
INS010329,Instrument INS010329,EQUITY,Y
INS010330,Instrument INS010330,BOND,Y
INS010331,Instrument INS010331,EQUITY,Y
INS010332,Instrument INS010332,BOND,Y
INS010333,Instrument INS010333,BOND,Y
INS010334,Instrument INS010334,FX,Y
INS010335,Instrument INS010335,EQUITY,Y
INS010336,Instrument INS010336,BOND,Y
INS010337,Instrument INS010337,FX,Y
INS010338,Instrument INS010338,BOND,Y
INS010339,Instrument INS010339,EQUITY,Y
INS010340,Instrument INS010340,FX,Y
INS010341,Instrument INS010341,EQUITY,Y
INS010342,Instrument INS010342,FX,Y
INS010343,Instrument INS010343,EQUITY,Y
INS010344,Instrument INS010344,BOND,Y
INS010345,Instrument INS010345,BOND,Y
INS010346,Instrument INS010346,BOND,Y
INS010347,Instrument INS010347,EQUITY,Y
INS010348,Instrument INS010348,FX,Y
INS010349,Instrument INS010349,EQUITY,Y
INS010350,Instrument INS010350,BOND,Y
INS010351,Instrument INS010351,EQUITY,Y
INS010352,Instrument INS010352,FX,Y
INS010353,Instrument INS010353,BOND,Y
INS010354,Instrument INS010354,EQUITY,Y
INS010355,Instrument INS010355,BOND,Y
INS010356,Instrument INS010356,EQUITY,Y
INS010357,Instrument INS010357,EQUITY,Y
INS010358,Instrument INS010358,BOND,Y
INS010359,Instrument INS010359,FX,Y
INS010360,Instrument INS010360,BOND,Y
INS010361,Instrument INS010361,FX,Y
INS010362,Instrument INS010362,BOND,Y
INS010363,Instrument INS010363,BOND,Y
INS010364,Instrument INS010364,BOND,Y
INS010365,Instrument INS010365,EQUITY,Y
INS010366,Instrument INS010366,EQUITY,Y
INS010367,Instrument INS010367,FX,Y
INS010368,Instrument INS010368,BOND,Y
INS010369,Instrument INS010369,EQUITY,Y
INS010370,Instrument INS010370,EQUITY,Y
INS010371,Instrument INS010371,BOND,Y
INS010372,Instrument INS010372,BOND,Y
INS010373,Instrument INS010373,BOND,Y
INS010374,Instrument INS010374,FX,Y
INS010375,Instrument INS010375,BOND,Y
INS010376,Instrument INS010376,EQUITY,Y
INS010377,Instrument INS010377,EQUITY,Y
INS010378,Instrument INS010378,BOND,Y
INS010379,Instrument INS010379,FX,Y
INS010380,Instrument INS010380,FX,Y
INS010381,Instrument INS010381,EQUITY,Y
INS010382,Instrument INS010382,FX,Y
INS010383,Instrument INS010383,BOND,Y
INS010384,Instrument INS010384,FX,Y
INS010385,Instrument INS010385,FX,Y
INS010386,Instrument INS010386,EQUITY,Y
INS010387,Instrument INS010387,EQUITY,Y
INS010388,Instrument INS010388,EQUITY,Y
INS010389,Instrument INS010389,FX,Y
INS010390,Instrument INS010390,EQUITY,Y
INS010391,Instrument INS010391,EQUITY,Y
INS010392,Instrument INS010392,FX,Y
INS010393,Instrument INS010393,FX,Y
INS010394,Instrument INS010394,FX,Y
INS010395,Instrument INS010395,BOND,Y
INS010396,Instrument INS010396,BOND,Y
INS010397,Instrument INS010397,FX,Y
INS010398,Instrument INS010398,EQUITY,Y
INS010399,Instrument INS010399,FX,Y
INS010400,Instrument INS010400,BOND,Y
INS010401,Instrument INS010401,EQUITY,Y
INS010402,Instrument INS010402,BOND,Y
INS010403,Instrument INS010403,BOND,Y
INS010404,Instrument INS010404,BOND,Y
INS010405,Instrument INS010405,BOND,Y
INS010406,Instrument INS010406,EQUITY,Y
INS010407,Instrument INS010407,FX,Y
INS010408,Instrument INS010408,EQUITY,Y
INS010409,Instrument INS010409,FX,Y
INS010410,Instrument INS010410,FX,Y
INS010411,Instrument INS010411,EQUITY,Y
INS010412,Instrument INS010412,FX,Y
INS010413,Instrument INS010413,EQUITY,Y
INS010414,Instrument INS010414,EQUITY,Y
INS010415,Instrument INS010415,FX,Y
INS010416,Instrument INS010416,FX,Y
INS010417,Instrument INS010417,BOND,Y
INS010418,Instrument INS010418,FX,Y
INS010419,Instrument INS010419,FX,Y
INS010420,Instrument INS010420,FX,Y
INS010421,Instrument INS010421,EQUITY,Y
INS010422,Instrument INS010422,BOND,Y
INS010423,Instrument INS010423,BOND,Y
INS010424,Instrument INS010424,EQUITY,Y
INS010425,Instrument INS010425,FX,Y
INS010426,Instrument INS010426,FX,Y
INS010427,Instrument INS010427,EQUITY,Y
INS010428,Instrument INS010428,BOND,Y
INS010429,Instrument INS010429,EQUITY,Y
INS010430,Instrument INS010430,EQUITY,Y
INS010431,Instrument INS010431,FX,Y
INS010432,Instrument INS010432,EQUITY,Y
INS010433,Instrument INS010433,EQUITY,Y
INS010434,Instrument INS010434,EQUITY,Y
INS010435,Instrument INS010435,FX,Y
INS010436,Instrument INS010436,FX,Y
INS010437,Instrument INS010437,BOND,Y
INS010438,Instrument INS010438,BOND,Y
INS010439,Instrument INS010439,BOND,Y
INS010440,Instrument INS010440,FX,Y
INS010441,Instrument INS010441,BOND,Y
INS010442,Instrument INS010442,EQUITY,Y
INS010443,Instrument INS010443,BOND,Y
INS010444,Instrument INS010444,EQUITY,Y
INS010445,Instrument INS010445,BOND,Y
INS010446,Instrument INS010446,FX,Y
INS010447,Instrument INS010447,EQUITY,Y
INS010448,Instrument INS010448,EQUITY,Y
INS010449,Instrument INS010449,FX,Y
INS010450,Instrument INS010450,EQUITY,Y
INS010451,Instrument INS010451,BOND,Y
INS010452,Instrument INS010452,FX,Y
INS010453,Instrument INS010453,EQUITY,Y
INS010454,Instrument INS010454,FX,Y
INS010455,Instrument INS010455,EQUITY,Y
INS010456,Instrument INS010456,EQUITY,Y
INS010457,Instrument INS010457,FX,Y
INS010458,Instrument INS010458,EQUITY,Y
INS010459,Instrument INS010459,BOND,Y
INS010460,Instrument INS010460,BOND,Y
INS010461,Instrument INS010461,EQUITY,Y
INS010462,Instrument INS010462,EQUITY,Y
INS010463,Instrument INS010463,BOND,Y
INS010464,Instrument INS010464,EQUITY,Y
INS010465,Instrument INS010465,EQUITY,Y
INS010466,Instrument INS010466,FX,Y
INS010467,Instrument INS010467,FX,Y
INS010468,Instrument INS010468,BOND,Y
INS010469,Instrument INS010469,BOND,Y
INS010470,Instrument INS010470,FX,Y
INS010471,Instrument INS010471,FX,Y
INS010472,Instrument INS010472,BOND,Y
INS010473,Instrument INS010473,BOND,Y
INS010474,Instrument INS010474,BOND,Y
INS010475,Instrument INS010475,FX,Y
INS010476,Instrument INS010476,FX,Y
INS010477,Instrument INS010477,EQUITY,Y
INS010478,Instrument INS010478,BOND,Y
INS010479,Instrument INS010479,EQUITY,Y
INS010480,Instrument INS010480,BOND,Y
INS010481,Instrument INS010481,FX,Y
INS010482,Instrument INS010482,BOND,Y
INS010483,Instrument INS010483,BOND,Y
INS010484,Instrument INS010484,FX,Y
INS010485,Instrument INS010485,FX,Y
INS010486,Instrument INS010486,BOND,Y
INS010487,Instrument INS010487,BOND,Y
INS010488,Instrument INS010488,BOND,Y
INS010489,Instrument INS010489,BOND,Y
INS010490,Instrument INS010490,BOND,Y
INS010491,Instrument INS010491,FX,Y
INS010492,Instrument INS010492,BOND,Y
INS010493,Instrument INS010493,FX,Y
INS010494,Instrument INS010494,EQUITY,Y
INS010495,Instrument INS010495,EQUITY,Y
INS010496,Instrument INS010496,BOND,Y
INS010497,Instrument INS010497,EQUITY,Y
INS010498,Instrument INS010498,FX,Y
INS010499,Instrument INS010499,EQUITY,Y
INS010500,Instrument INS010500,EQUITY,Y
INS010501,Instrument INS010501,FX,Y
INS010502,Instrument INS010502,BOND,Y
INS010503,Instrument INS010503,FX,Y
INS010504,Instrument INS010504,FX,Y
INS010505,Instrument INS010505,BOND,Y
INS010506,Instrument INS010506,FX,Y
